Folder & Position (f#p#),Prints (#),Negatives (#),Other (# and describe),Faces (#),Annotation - Front,Annotation - Back,Description for Negative,Neg. Pos.,,,,,,,,,,,,,,,
f6p8,1,1,,3,"TL: ""Foreground Set for Unloading Packages - Xanadu - Prod #281-67""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; C: ""4"" (written large and diagonally); BR: ""NOV 19 '40 AM"" and clock timestamp showing 08:45",,,,,,,,,,,,,,,,,
f7p1,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 22 '40 PM""",,,,,,,,,,,,,,,,,
f7p2,0,1,,1,,,xanadu lion big archway ,,,,,,,,,,,,,,,,
f7p3,0,1,,1,,,xanadu giant fire place,,,,,,,,,,,,,,,,
f7p4,0,1,,1,,,xanadu staircase with candelabra at the foot,,,,,,,,,,,,,,,,
f7p5,0,0,empty paper sleeve,1,"TL:""#281-36""",,,,,,,,,,,,,,,,,,
f7p6,0,1,,1,,,only verticle photo fire place with other statues,,,,,,,,,,,,,,,,
f7p7,0,0,empty paper sleeve,1,"TR: ""Xanadu Great Hall Prod #281-36""",,,,,,,,,,,,,,,,,,
f7p8,0,1,,1,,,fire place with jigsaw puzzle in foreground ,,,,,,,,,,,,,,,,
f7p9,0,0,empty paper sleeve,1,"TL: ""Xanadu Great Hall #281-36""",,,,,,,,,,,,,,,,,,
f7p10,0,1,,1,,,staircase further up cannot see bottom,,,,,,,,,,,,,,,,
f7p11,0,1,,1,,,fireplace another verticle from other side from left,,,,,,,,,,,,,,,,
f7p12,0,1,,1,,,"xanadu box frames statues, another staircase up to the right",,,,,,,,,,,,,,,,
f7p13,0,0,empty paper sleeve,1,"TL: ""Xanadu Great Hall #281-36""",,,,,,,,,,,,,,,,,,
f7p15,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 22 '40 PM""",,,,,,,,,,,,,,,,,
f7p16,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 22 '40 PM""",,,,,,,,,,,,,,,,,
f7p17,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 22 '40 PM""",,,,,,,,,,,,,,,,,
f7p18,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Nov 19 '40 AM""",,,,,,,,,,,,,,,,,
f7p19,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
f7p20,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
f8p1,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
f8p2,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL :""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
f8p3,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
f8p4,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
f8p5,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 22 '40 PM""",,,,,,,,,,,,,,,,,
f8p6,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""",,,,,,,,,,,,,,,,,
f8p7,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 22 '40 PM""",,,,,,,,,,,,,,,,,
f8p8,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
f8p9,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",,,,,,,,,,,,,,,,,
f8p11,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 15 '40 PM""",,,,,,,,,,,,,,,,,
f8p12,1,1,,3,"TL: ""Xanadu Great Hall Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 16 '40 PM""",statues and boxes stair case going up back ,,,,,,,,,,,,,,,,
f9p1,1,1,,3,"TL: ""2nd Floor-Xanadu-Prod. #281-37""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 18 '40 PM""",,,,,,,,,,,,,,,,,
f9p3,1,1,,3,"TL: ""2nd Floor-Xanadu-Prod. #281-37""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 18 '40 PM""",,,,,,,,,,,,,,,,,
f9p5,1,1,,3,"TL: ""2nd Floor-Xanadu-Prod. #281-37""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 23 '40 PM""",bed and camera guy shadow,,,,,,,,,,,,,,,,
f9p7,0,1,,1,,,"chair xanadu dresser dolls, monkey",,,,,,,,,,,,,,,,
f9p8,0,0,empty paper sleeve,1,"TL: ""2nd Floor-Xanadu-Prod. #281-37""; TR: ""Orson Welles""",,,,,,,,,,,,,,,,,,
f9p9,1,1,,3,"TL: ""2nd Floor-Xanadu-Prod. #281-37""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Oct 23 '40 PM""",chair on side bed cover pulled back furniture chaos,,,,,,,,,,,,,,,,
f9p11,1,1,,3,"TL: ""2nd Floor-Xanadu-Prod. #281-37""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""'; BR: ""Oct 18 '40 PM""",bed with open luggage ,,,,,,,,,,,,,,,,
f9p14,1,1,,3,"TL:  ""Congressional Commitee-prod. #281-61""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Sep 24 '40 PM""",,,,,,,,,,,,,,,,,
f9p15,1,1,,3,"TL: ""Foreground Set for Unloading Packages-Xanadu-Prod#281-67""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Nov 19 '40 PM""",looking down staircase  out on a lot of boxes and statues ,,,,,,,,,,,,,,,,
f9p17,1,1,,3,"TL: ""Foreground Set for Unloading Packages-Xanadu-Prod#281-67""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Nov 19 '40 PM""",lots of box some statues people  couch ,,,,,,,,,,,,,,,,
f9p18,1,1,,3,"TL: ""Foreground Set for Unloading Packages-Xanadu-Prod#281-67""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Nov 19 '40 PM""",,,,,,,,,,,,,,,,,
f9p19,1,1,,3,"TL: ""Foreground Set for Unloading Packages-Xanadu-Prod#281-67""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 Citizen Kane""; BR: ""Nov 19 '40 PM""",,,,,,,,,,,,,,,,,
